participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
P6,1,41,1.1778224648089628,0.0398571745916314,balanced_cleaned,False
P6,2,186,5.343292157426027,0.0285938527769645,balanced_cleaned,False
P6,3,324,9.307670209709851,0.0315424172644272,balanced_cleaned,False
P6,4,465,13.358230393565066,0.0293467765387488,balanced_cleaned,False
P6,5,609,17.494972708991668,0.0271318088476851,balanced_cleaned,False
P6,6,742,21.31571387532318,0.0394424266987892,balanced_cleaned,False
P6,7,887,25.48118356794025,0.0239070950016429,balanced_cleaned,False
P6,8,1024,29.41683424303361,0.0252577410902277,balanced_cleaned,False
P6,9,1163,33.409939672507896,0.0167443857085805,balanced_cleaned,True
P6,10,1306,37.517954610744034,0.0198550619605087,balanced_cleaned,False
P6,11,1443,41.4536052858374,0.0367975925774421,balanced_cleaned,False
P6,12,1582,45.44671071531169,0.0234867609222359,balanced_cleaned,False
P6,13,1725,49.55472565354783,0.0230259888240704,balanced_cleaned,False
P6,14,1867,53.6340132145935,0.0293326773133414,balanced_cleaned,False
P6,15,2006,57.62711864406779,0.0261041922382977,balanced_cleaned,False
P6,16,2145,61.62022407354208,0.0415304408172647,balanced_cleaned,False
P6,17,2285,65.64205688020684,0.0247996963716706,balanced_cleaned,False
P6,18,2430,69.8075265728239,0.0255622431264483,balanced_cleaned,False
P6,19,2569,73.80063200229819,0.0257121604595206,balanced_cleaned,False
P6,20,2704,77.67882792301063,0.0212057631534066,balanced_cleaned,False
P6,21,2846,81.7581154840563,0.0298748531104169,balanced_cleaned,False
P6,22,2989,85.86613042229244,0.0304545928025314,balanced_cleaned,False
P6,23,3128,89.85923585176673,0.0211985904985593,balanced_cleaned,False
P6,24,3271,93.96725079000286,0.0248983885683808,balanced_cleaned,False
P6,25,3404,97.78799195633438,0.0262157720425402,balanced_cleaned,False
P6,26,3548,101.92473427176098,0.0261040671087398,balanced_cleaned,False
P6,27,3685,105.86038494685434,0.0223794194973903,balanced_cleaned,False
P6,28,3829,109.99712726228094,0.0278997404393208,balanced_cleaned,False
P6,29,3970,114.04768744613617,0.0241328862182802,balanced_cleaned,False
P6,30,4115,118.21315713875322,0.0322711640779295,balanced_cleaned,False
P6,31,4252,122.1488078138466,0.02731579702812,balanced_cleaned,False
P6,32,4392,126.17064062051134,0.0350921034236537,balanced_cleaned,False
P6,33,4534,130.249928181557,0.0397008975229526,balanced_cleaned,False
P6,34,4676,134.32921574260268,0.0343019074352588,balanced_cleaned,False
P6,35,4818,138.40850330364836,0.0284188539693338,balanced_cleaned,False
P6,36,4958,142.4303361103131,0.0282001770677107,balanced_cleaned,False
P6,37,5093,146.30853203102555,0.0386424577505437,balanced_cleaned,False
P6,38,5235,150.38781959207122,0.0323797735021655,balanced_cleaned,False
P6,39,5376,154.43837977592645,0.03862479185222,balanced_cleaned,False
P6,40,5519,158.54639471416257,0.0362696740844534,balanced_cleaned,False
P6,41,5656,162.48204538925594,0.026690969236429,balanced_cleaned,False
P6,42,5789,166.30278655558746,0.042856463929177,balanced_cleaned,False
P6,43,5933,170.43952887101406,0.0200066815532972,balanced_cleaned,False
P6,44,6076,174.5475438092502,0.0464816900775861,balanced_cleaned,False
P6,45,6213,178.48319448434356,0.0344875494948657,balanced_cleaned,False
P6,46,6358,182.64866417696064,0.0336271049821908,balanced_cleaned,False
P6,47,6496,186.61304222924448,0.0323719083723069,balanced_cleaned,False
P6,48,6638,190.69232979029013,0.0387509643851936,balanced_cleaned,False
